player_name,nationality,position,team,league,age,birth_year_str,matches_played,starts,minutes_played,ninety_minutes,goals,assists,goal_contributions,goals_non_penalty,penalties_scored,penalties_attempted,yellow_cards,red_cards,xg_total,npxg_total,xa_total,npxg_xa_total,progressive_carries,progressive_passes,progressive_receptions,season,goals_per_90,assists_per_90,xG_per_90,xA_per_90,npxG_per_90,birth_year,valuation_year,player_id,market_value_in_eur,date,market_value_millions,team_avg_age,team_goals,team_minutes,squad_size,team_xg,team_xa,team_goals_per_player,goal_share_pct,is_team_top_scorer,minutes_share_pct,is_regular_starter,league_clean,league_multiplier,age_value_multiplier,position_group,position_multiplier,season_year,market_inflation_factor,finishing_efficiency,playmaking_efficiency,xg_overperformance,minutes_per_match,starting_rate,xg_xa_per_90,fifa_overall,fifa_potential,fifa_potential_gap,fifa_matched,is_wonderkid,high_potential_youth,youth_potential_premium,elite_rating
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21.0,2000.0,34,32,2881,32.0,0.0,0.06,0.06,0.0,0.0,0.0,0.25,0.0,0.03,0.03,0.05,0.08,2.44,3.66,2.66,2021-22,0.0,0.002,0.001,0.002,0.001,2000.0,2021,471690.0,22000000.0,2021-12-23,22.0,24.48,1.08,36626,25,1.79,1.53,0.0432,0.0,0,7.86599683285098,0,Other,0.75,0.95,DEF,0.9,2021,0.92,0.0,1.2,-0.03,84.73529411764706,0.9411764705882352,0.003,76.0,79.0,0.0,False,0,0,1.0,0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33.0,1987.0,34,34,2983,33.1,0.06,0.0,0.06,0.06,0.0,0.0,0.15,0.03,0.04,0.04,0.02,0.06,0.69,3.6,0.42,2021-22,0.002,0.0,0.001,0.001,0.001,1987.0,2021,199704.0,1500000.0,2021-12-16,1.5,23.24137931034483,2.97,35250,29,4.28,2.37,0.1024137931034482,2.0202020202020203,0,8.46241134751773,0,Other,0.75,0.5,DEF,0.9,2021,0.92,1.5,0.0,0.0199999999999999,87.73529411764706,1.0,0.002,76.0,79.0,0.0,False,0,0,1.0,0
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21.0,2000.0,31,29,2462,27.4,0.04,0.0,0.04,0.04,0.0,0.0,0.44,0.11,0.03,0.03,0.03,0.06,0.88,3.94,1.72,2021-22,0.001,0.0,0.001,0.001,0.001,2000.0,2021,688707.0,2000000.0,2021-12-16,2.0,26.666666666666668,1.48,34682,24,2.42,2.04,0.0616666666666666,2.702702702702702,0,7.098783230494204,0,Other,0.75,0.95,MID,1.05,2021,0.92,1.3333333333333337,0.0,0.01,79.41935483870968,0.935483870967742,0.002,76.0,79.0,0.0,False,0,0,1.0,0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28.0,1993.0,34,34,2956,32.8,0.0,0.06,0.06,0.0,0.0,0.0,0.27,0.0,0.05,0.05,0.11,0.16,0.91,5.21,2.23,2021-22,0.0,0.002,0.002,0.003,0.002,1993.0,2021,238626.0,2500000.0,2021-12-16,2.5,25.142857142857142,2.49,35951,28,2.97,1.72,0.0889285714285714,0.0,0,8.222302578509638,0,Other,0.75,1.0,MID,1.05,2021,0.92,0.0,0.5454545454545454,-0.05,86.94117647058823,1.0,0.005,76.0,79.0,0.0,False,0,0,1.0,0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21.0,2000.0,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2021-22,0.0,0.0,0.0,0.0,0.0,2000.0,2021,418658.0,2200000.0,2021-12-27,2.2,23.8125,2.09,37031,32,2.57,1.52,0.0653125,0.0,0,0.1215198077286597,0,Other,0.75,0.95,ATT,1.25,2021,0.92,0.0,0.0,0.0,45.0,1.0,0.0,76.0,79.0,0.0,False,0,0,1.0,0
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22.0,1998.0,24,5,726,8.1,0.0,0.12,0.12,0.0,0.0,0.0,0.37,0.0,0.22,0.22,0.16,0.4,1.73,2.1,4.69,2021-22,0.0,0.015,0.027,0.02,0.027,1998.0,2021,596813.0,900000.0,2021-12-22,0.9,24.55555555555556,1.8,31562,27,2.19,1.29,0.0666666666666666,0.0,0,2.300234459159749,0,Other,0.75,0.95,ATT,1.25,2021,0.92,0.0,0.75,-0.22,30.25,0.2083333333333333,0.047,76.0,79.0,0.0,False,0,0,1.0,0
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18.0,2003.0,7,1,103,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,0.91,1.82,5.45,2021-22,0.0,0.0,0.245,0.0,0.245,2003.0,2021,659543.0,2000000.0,2021-12-16,2.0,23.26923076923077,3.66,37122,26,4.58,4.34,0.1407692307692307,0.0,0,0.2774634987339044,0,Other,0.75,0.6,ATT,1.25,2021,0.92,0.0,0.0,-0.27,14.714285714285714,0.1428571428571428,0.245,76.0,79.0,0.0,False,0,0,1.0,0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23.0,1997.0,37,36,3084,34.3,0.5,0.12,0.61,0.41,0.09,0.09,0.26,0.0,0.6,0.54,0.14,0.68,1.2,2.04,5.8,2021-22,0.015,0.003,0.017,0.004,0.016,1997.0,2021,331726.0,38000000.0,2021-12-28,38.0,24.5,4.05,37518,26,3.77,3.07,0.1557692307692307,12.34567901234568,0,8.220054373900528,0,Other,0.75,1.0,ATT,1.25,2021,0.92,0.8333333333333334,0.857142857142857,-0.0999999999999999,83.35135135135135,0.972972972972973,0.021,76.0,79.0,0.0,False,0,0,1.0,0
Luis Abram,pe PER,DF,Granada,es La Liga,25.0,1996.0,8,6,560,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.05,0.05,0.0,0.05,0.16,1.61,0.16,2021-22,0.0,0.0,0.008,0.0,0.008,1996.0,2021,330684.0,7000000.0,2021-12-30,7.0,26.964285714285715,2.06,34238,28,2.52,1.89,0.0735714285714285,0.0,0,1.6356095566329811,0,Other,0.75,1.0,DEF,0.9,2021,0.92,0.0,0.0,-0.05,70.0,0.75,0.008,76.0,79.0,0.0,False,0,0,1.0,0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33.0,1988.0,30,29,2536,28.2,0.14,0.0,0.14,0.14,0.0,0.0,0.07,0.04,0.09,0.09,0.02,0.1,1.1,4.22,0.35,2021-22,0.005,0.0,0.003,0.001,0.003,1988.0,2021,131075.0,7000000.0,2021-12-28,7.0,27.11111111111111,3.14,39970,27,4.359999999999999,1.69,0.1162962962962963,4.4585987261146505,0,6.344758568926695,0,Other,0.75,0.5,DEF,0.9,2021,0.92,1.5555555555555558,0.0,0.05,84.53333333333333,0.9666666666666668,0.004,76.0,79.0,0.0,False,0,0,1.0,0
